,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
340,CN.COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(C(C)=O)C[C@@H]3O[C@H]1CCC[C@H](C)O1,0.0020579620418366,0.3449291379406977,0.074,0.245,0.171,-0.171,-0.272,-0.071,0.073,-0.647,0.647,0.2,0.17,0.319,4.994
341,COc1ccc(CCN2CCC(CNC(C)(C)C)C2)cc1,0.053360015799051,0.2986984906437238,0.0069999999999999,0.13,0.123,-0.123,-0.2739999999999999,0.0279999999999999,0.025,-0.962,0.962,0.302,0.299,0.1369999999999999,3.309
342,CSC1CCCCC1NC(=O)C(C)(N)C1CC1,0.0726901592634455,0.311340257472149,0.003,0.123,0.119,-0.119,-0.291,0.052,0.021,-0.7809999999999999,0.7809999999999999,0.342,0.3379999999999999,0.126,2.92
343,CCCCn1c(-c2ccc(OCCc3ccc(Cl)cc3)cc2NCCN(CC)CC)nc2ccc(OCCCN(CC)CC)cc21,0.0362348316651958,0.2750319271626019,0.012,0.131,0.119,-0.119,-0.247,0.008,0.0279999999999999,-0.86,0.86,0.255,0.235,0.144,3.914
344,O=C(NNS(=O)(=O)c1cccc(OC(F)(F)F)c1)c1ccc2c(c1)OCCO2,0.0209471136401233,0.3448923886185221,0.034,0.196,0.162,-0.162,-0.296,-0.0279999999999999,0.049,-0.965,0.965,0.268,0.244,0.2289999999999999,3.733
345,CCC(Nc1ncnc2nc[nH]c12)c1nc2ccc(F)cc2c(=O)n1-c1cccc(F)c1F,0.0170149361673282,0.3521687544093018,0.04,0.207,0.168,-0.168,-0.299,-0.037,0.054,-0.898,0.898,0.262,0.256,0.247,3.817
346,Cc1ccc2c(C)c(C(=O)Oc3ccc4c(c3)OC(N)=C(C#N)C4c3cccc(OCc4ccc(F)cc4)c3)oc2c1C,0.0151407207363698,0.342981423865388,0.0409999999999999,0.205,0.1639999999999999,-0.1639999999999999,-0.289,-0.038,0.054,-0.518,0.518,0.251,0.25,0.245,3.982
347,CC1CCC(N(C)C(=O)COC(=O)CNS(=O)(=O)c2cccs2)CC1,0.0358305891212636,0.3475750891373449,0.021,0.177,0.156,-0.156,-0.308,-0.004,0.04,-0.466,0.466,0.303,0.296,0.198,3.297
348,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(C3CCNCC3O)cc1OCC2.Cl,0.002021212719661,0.3542267164511385,0.126,0.302,0.176,-0.176,-0.252,-0.1,0.102,-0.8540000000000001,0.8540000000000001,0.151,0.118,0.429,6.609
349,COc1ccc(Nc2ncc3c(C)nc(-c4cccc(OC)c4)n3n2)cc1,0.0099590663096025,0.3033289052378563,0.042,0.188,0.147,-0.147,-0.252,-0.0409999999999999,0.051,-0.6859999999999999,0.6859999999999999,0.212,0.192,0.23,4.726
350,COc1ccc(Br)c(CNCCC2=CCCCC2)c1OC,0.0463408952635009,0.3036228998152616,0.01,0.139,0.129,-0.129,-0.275,0.018,0.0279999999999999,-0.612,0.612,0.294,0.2789999999999999,0.149,3.406
351,COc1cccc(C(=O)Nc2ccc(Nc3ccc(-n4nc(C)cc4C)nn3)cc2)c1OC,0.0189993995648136,0.3068200908445435,0.03,0.173,0.144,-0.144,-0.264,-0.024,0.043,-0.8029999999999999,0.8029999999999999,0.239,0.223,0.203,4.18
352,COc1cccc(CNS(=O)(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)c1,0.0058431422259291,0.3339778399323525,0.057,0.221,0.1639999999999999,-0.1639999999999999,-0.271,-0.057,0.063,-0.6679999999999999,0.6679999999999999,0.214,0.1939999999999999,0.278,4.67
353,O=C(NC(=S)Nc1cc(Cl)cc(Cl)c1)c1ccc(OCCOc2ccccc2)cc1,0.0142954863263297,0.3326548643340289,0.04,0.1989999999999999,0.159,-0.159,-0.28,-0.038,0.052,-0.815,0.815,0.242,0.223,0.239,4.125
354,CC(C)(C)C(=O)OCC(CN)CCc1ccccc1,0.0568879507279139,0.3388654997817146,0.01,0.151,0.141,-0.141,-0.309,0.027,0.03,-0.5479999999999999,0.5479999999999999,0.337,0.33,0.16,2.97
355,CCCNC(CC(C)(C)C)c1ccc(OC)c(F)c1,0.0522575361337814,0.2977797575893324,0.008,0.13,0.123,-0.123,-0.273,0.027,0.025,-0.606,0.606,0.3,0.286,0.138,3.3360000000000003
356,O=C(Nc1ccc(F)cc1)Nc1ccc(NS(=O)(=O)c2ccc3c(c2)OCCCO3)cc1,0.0314574197823606,0.311340257472149,0.019,0.159,0.14,-0.14,-0.275,-0.005,0.036,-0.865,0.865,0.27,0.247,0.179,3.699
