,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
1210,CC(C)N1CCC(Nc2cccc(CN3CCC(CO)CC3)c2)CC1,0.0530660212216458,0.2824552902420843,0.006,0.121,0.115,-0.115,-0.26,0.03,0.023,-0.648,0.648,0.29,0.275,0.127,3.446
1211,COc1ccc(CNC(=O)C[NH2+][C@@H](C)c2ccc(F)c(F)c2)cc1OC,0.0202488765187859,0.0127152654727766,0.004,0.001,-0.004,0.004,-0.012,0.02,0.0,-0.363,0.363,0.033,-0.222,0.005,30.747
1212,CC(C)N1CCC(Nc2cccc(CN3CCC(CO)CC3)c2)CC1,0.0553077298743607,0.2797725897232615,0.005,0.118,0.112,-0.112,-0.258,0.034,0.022,-0.649,0.649,0.292,0.279,0.123,3.425
1213,CS(=O)(=O)OCCn1cc2c(n1)CCc1c-2sc2ncnc(Nc3ccc(OCc4ccccc4)c(Cl)c3)c12,0.0197343860083267,0.2973387657232245,0.027,0.166,0.139,-0.139,-0.256,-0.021,0.041,-0.547,0.547,0.235,0.206,0.193,4.253
1214,CS(=O)(=O)c1ccc(/C=C/C(=O)N2CCC(C(NC3CCC(c4c[nH]c5ccccc45)CC3)C(N)=O)CC2)cc1,0.0073131151129553,0.3240187736227501,0.051,0.21,0.158,-0.158,-0.265,-0.051,0.059,-1.0,1.0,0.214,0.191,0.261,4.667
1215,CS(=O)(=O)c1ccc(/C=C/C(=O)N2CCC(C(NC3CCC(c4c[nH]c5ccccc45)CC3)C(N)=O)CC2)cc1,0.0044834173054299,0.3298619158486792,0.06,0.223,0.163,-0.163,-0.266,-0.06,0.064,-1.0,1.0,0.206,0.181,0.283,4.862
1216,Cc1ncc(C2CC3CCC2N3)[nH]1,0.06901522704588,0.2961995367357793,0.003,0.117,0.114,-0.114,-0.276,0.049,0.02,-0.901,0.901,0.326,0.29,0.12,3.071
1217,CC(C)S(=O)(=O)c1ccccc1COc1nc(Nc2ccc(N3CCN(C)CC3)cc2)nc2ccsc12,0.0170884348116795,0.2680495559492275,0.025,0.151,0.125,-0.125,-0.231,-0.02,0.037,-0.979,0.979,0.21,0.156,0.176,4.756
1218,CC(C)S(=O)(=O)c1ccccc1COc1nc(Nc2ccc(N3CCN(C)CC3)cc2)nc2ccsc12,0.0171251841338552,0.2683435505266327,0.025,0.151,0.126,-0.126,-0.231,-0.02,0.037,-0.995,0.995,0.211,0.156,0.176,4.75
1219,CC(C)S(=O)(=O)c1ccccc1COc1nc(Nc2ccc(N3CCN(C)CC3)cc2)nc2ccsc12,0.017566175999963,0.2721287307107252,0.025,0.153,0.127,-0.127,-0.234,-0.02,0.038,-0.904,0.904,0.214,0.161,0.178,4.672
1220,CCC(CSC)NC(=O)c1ccc(N)nn1,0.019918132619205,0.3210420785265221,0.031,0.181,0.151,-0.151,-0.276,-0.025,0.045,-0.975,0.975,0.25,0.214,0.212,3.992
1221,CCC(CSC)NC(=O)c1ccc(N)nn1,0.0221965905940956,0.336807537739878,0.031,0.188,0.157,-0.157,-0.29,-0.024,0.047,-0.994,0.994,0.266,0.247,0.219,3.759
1222,COc1ccc(S(=O)(=O)c2ccc(C3(C4CCN(C5CCN(C(=O)c6cccc(N)c6C)CC5)CC4)OCCO3)cc2)cc1,0.0231888222928383,0.313692214091391,0.026,0.172,0.145,-0.145,-0.272,-0.018,0.042,-0.999,0.999,0.254,0.244,0.198,3.942
1223,COc1ccc(S(=O)(=O)c2ccc(C3(C4CCN(C5CCN(C(=O)c6cccc(N)c6C)CC5)CC4)OCCO3)cc2)cc1,0.0234460675480678,0.3134349688361614,0.026,0.171,0.145,-0.145,-0.272,-0.018,0.041,-0.997,0.997,0.254,0.251,0.197,3.935
1224,COc1ccc(S(=O)(=O)c2ccc(C3(C4CCN(C5CCN(C(=O)c6cccc(N)c6C)CC5)CC4)OCCO3)cc2)cc1,0.0231520729706626,0.3135452168026884,0.026,0.172,0.145,-0.145,-0.272,-0.018,0.042,-0.999,0.999,0.254,0.244,0.198,3.944
1225,Cc1ccc(Br)cc1C(N)C1=CCCO1,0.0477741188283514,0.3056808618570982,0.01,0.139,0.129,-0.129,-0.278,0.02,0.028,-0.927,0.927,0.298,0.278,0.149,3.36
1226,C1=C2c3ccccc3C3(c4ccccc4-c4ccccc43)C2Nc2c1c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccncc4c4cccnc43)cc2)cc1,0.0114290391966287,0.2696665261249563,0.033,0.162,0.129,-0.129,-0.227,-0.031,0.043,-0.987,0.987,0.196,0.149,0.195,5.1
1227,C1=C2c3ccccc3C3(c4ccccc4-c4ccccc43)C2Nc2c1c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccncc4c4cccnc43)cc2)cc1,0.0112085432635747,0.2687845423927406,0.033,0.162,0.129,-0.129,-0.226,-0.031,0.043,-0.998,0.998,0.195,0.147,0.195,5.13
1228,C1=C2c3ccccc3C3(c4ccccc4-c4ccccc43)C2Nc2c1c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccncc4c4cccnc43)cc2)cc1,0.0115760364853313,0.2694092808697268,0.032,0.161,0.129,-0.129,-0.227,-0.031,0.042,-0.998,0.998,0.196,0.149,0.194,5.093
1229,CC(C)NCC(C)(C)CN1CCCC2CCCCC21,0.081803991163008,0.2820142983759764,0.001,0.101,0.1,-0.1,-0.267,0.067,0.015,-0.871,0.871,0.334,0.31,0.102,2.9960000000000004
1230,CC(C)NCC(C)(C)CN1CCCC2CCCCC21,0.0784230535228477,0.281205813288112,0.001,0.103,0.101,-0.101,-0.266,0.063,0.016,-0.868,0.868,0.328,0.313,0.104,3.0460000000000003
1231,Cc1ccc(Cl)cc1-n1nc(-c2ccccc2F)c2c1NCC2,0.0250997870459723,0.3089148022085559,0.024,0.166,0.142,-0.142,-0.269,-0.014,0.039,-0.7390000000000001,0.7390000000000001,0.255,0.243,0.19,3.921
1232,Cc1ccc(Cl)cc1-n1nc(-c2ccccc2F)c2c1NCC2,0.0288114685857135,0.3092087967859611,0.021,0.161,0.14,-0.14,-0.272,-0.008,0.037,-0.7959999999999999,0.7959999999999999,0.263,0.253,0.182,3.796
1233,Cc1ccc(CNc2ncc(F)cn2)cn1,0.023960558058527,0.3367340390955267,0.029,0.186,0.156,-0.156,-0.291,-0.021,0.045,-0.679,0.679,0.27,0.239,0.215,3.701
1234,CS(=O)(=O)OCCn1cc2c(n1)CCc1c-2sc2ncnc(Nc3ccc(OCc4ccccc4)c(Cl)c3)c12,0.0189259009204623,0.3049826247357608,0.029,0.172,0.143,-0.143,-0.262,-0.024,0.043,-0.505,0.505,0.238,0.214,0.202,4.203
1235,CNC(Cc1ncc[nH]1)Cc1c(F)cccc1F,0.0508243125689308,0.3029246626939241,0.009,0.135,0.126,-0.126,-0.277,0.024,0.026,-0.944,0.944,0.301,0.278,0.143,3.322
1236,CNC1c2cc(OC)ccc2CC1N1CC(C)CCC1C,0.0508243125689308,0.2959790408027253,0.008,0.131,0.123,-0.123,-0.271,0.025,0.025,-0.634,0.634,0.296,0.295,0.139,3.378
1237,CNC1c2cc(OC)ccc2CC1N1CC(C)CCC1C,0.0497585822258368,0.2943988199491721,0.008,0.131,0.122,-0.122,-0.269,0.024,0.026,-0.91,0.91,0.293,0.287,0.139,3.411
1238,CCC(CNC)Oc1ccc(F)cc1C,0.050383320702823,0.3007197033633848,0.009,0.134,0.125,-0.125,-0.274,0.024,0.026,-0.602,0.602,0.299,0.267,0.142,3.349
1239,Cc1cccc(C)c1Nc1nnc(-c2c[nH]c3ncc(C4C=NN(C)C4)cc23)o1,0.0226743317823791,0.3137289634135667,0.027,0.172,0.146,-0.146,-0.272,-0.019,0.042,-0.634,0.634,0.252,0.245,0.199,3.96
1240,COCCNCc1ccc(SCC(=O)OC)cc1,0.041967725924598,0.3050928727022877,0.013,0.144,0.132,-0.132,-0.275,0.012,0.03,-0.647,0.647,0.287,0.265,0.157,3.488
1241,C[C@H](Nc1ccc2n[nH]nc2c1)c1cccc(S(=O)(=O)N(C)C)c1,0.0214248548284068,0.3171833996980782,0.029,0.177,0.148,-0.148,-0.274,-0.022,0.043,-0.598,0.598,0.252,0.215,0.205,3.972
1242,C[C@H](Nc1ccc2n[nH]nc2c1)c1cccc(S(=O)(=O)N(C)C)c1,0.0220863426275686,0.3222548061583186,0.029,0.179,0.15,-0.15,-0.278,-0.022,0.044,-0.495,0.495,0.257,0.226,0.208,3.897
1243,CCCNC(C)c1cccc(F)c1OCCOCCC,0.0515960483346196,0.3163381652880382,0.01,0.142,0.132,-0.132,-0.288,0.023,0.028,-0.877,0.877,0.312,0.306,0.151,3.208
1244,COc1cc(C2CNCCO2)cc2c1OCC2,0.0528455252885918,0.2868284595809872,0.0069999999999999,0.124,0.117,-0.117,-0.263,0.029,0.023,-0.594,0.594,0.293,0.274,0.13,3.414
1245,CC(=O)Nc1cccc(NCc2ncnn2C(C)C)c1,0.0501995740919447,0.2878574406019055,0.0069999999999999,0.126,0.119,-0.119,-0.263,0.026,0.024,-0.66,0.66,0.289,0.261,0.134,3.457
1246,CC(=O)Nc1cccc(NCc2ncnn2C(C)C)c1,0.0425924644015841,0.3048356274470581,0.012,0.143,0.131,-0.131,-0.275,0.013,0.03,-0.635,0.635,0.288,0.259,0.155,3.4760000000000004
1247,CC(=O)Nc1cccc(NCc2ncnn2C(C)C)c1,0.0424454671128815,0.3081430664428671,0.013,0.145,0.133,-0.133,-0.278,0.012,0.03,-0.647,0.647,0.29,0.264,0.158,3.452
1248,COCOc1cccc(Cl)c1NS(=O)(=O)c1nc2nc(C)cc(C)n2n1,0.0021682100083636,0.3373955268946884,0.071,0.239,0.168,-0.168,-0.266,-0.069,0.071,-0.965,0.965,0.197,0.154,0.31,5.08
1249,CN1C(=O)CC(NC(=O)CCOc2ccccc2N)C1=O,0.0360510850543175,0.2903931438320257,0.014,0.141,0.127,-0.127,-0.26,0.006,0.03,-0.998,0.998,0.266,0.224,0.155,3.766
1250,CN1C(=O)CC(NC(=O)CCOc2ccccc2N)C1=O,0.0361245836986688,0.2903931438320257,0.014,0.141,0.127,-0.127,-0.26,0.006,0.03,-0.998,0.998,0.266,0.224,0.155,3.764
1251,CN1C(=O)CC(NC(=O)CCOc2ccccc2N)C1=O,0.0367493221756549,0.2946193158822261,0.014,0.143,0.129,-0.129,-0.264,0.006,0.031,-0.997,0.997,0.27,0.227,0.157,3.707
1252,CC(C)n1c(CC2CCNC2)nc2c(F)cccc21,0.0455324101756365,0.3153091842671198,0.012,0.147,0.135,-0.135,-0.285,0.015,0.03,-0.403,0.403,0.3,0.293,0.159,3.3310000000000004
1253,CC(C)n1c(CC2CCNC2)nc2c(F)cccc21,0.0446504264434208,0.3124427371374188,0.012,0.146,0.134,-0.134,-0.282,0.014,0.03,-0.917,0.917,0.297,0.293,0.158,3.3710000000000004
1254,CCC(=O)OC(OC(=O)CNC(=O)C(CSSCC(N)CCSC)Cc1ccccc1)C1CCCCC1,0.0428864589789893,0.3262237329532894,0.014,0.156,0.142,-0.142,-0.293,0.01,0.033,-0.654,0.654,0.303,0.291,0.17,3.302
1255,CCC(=O)OC(OC(=O)CNC(=O)C(CSSCC(N)CCSC)Cc1ccccc1)C1CCCCC1,0.0383295430292081,0.2963097847023062,0.013,0.142,0.129,-0.129,-0.266,0.008,0.03,-0.983,0.983,0.274,0.257,0.156,3.651
1256,O=C([O-])c1c(Cl)c(Cl)cc2c1Nc1ccccc1S2,0.0058431422259291,0.2863874677148793,0.047,0.187,0.14,-0.14,-0.234,-0.047,0.053,-0.5539999999999999,0.5539999999999999,0.187,0.129,0.234,5.347
1257,CC(O)C(O)(c1nccs1)N1CCNCC1,0.0321924062258737,0.3163014159658625,0.02,0.162,0.142,-0.142,-0.28,-0.004,0.037,-0.96,0.96,0.275,0.258,0.181,3.634
1258,CC(O)C(O)(c1nccs1)N1CCNCC1,0.0298037002844562,0.3124794864595944,0.021,0.162,0.141,-0.141,-0.275,-0.008,0.037,-0.909,0.909,0.268,0.249,0.183,3.736
1259,CCN(CC)CCCNCC(=O)NC1(C)C2CCC(C2)C1(C)C,0.0787537974224286,0.2808750693885311,0.001,0.102,0.101,-0.101,-0.265,0.063,0.016,-0.899,0.899,0.329,0.31,0.103,3.044
1260,Cc1cccc(C)c1Nc1nnc(-c2c[nH]c3ncc(C4C=NN(C)C4)cc23)o1,0.0226743317823791,0.3138024620579179,0.027,0.172,0.146,-0.146,-0.272,-0.019,0.042,-0.633,0.633,0.253,0.245,0.199,3.958
1261,C[C@H](Nc1cccc(I)c1)c1nccs1,0.0357570904769123,0.3120017452713109,0.017,0.155,0.138,-0.138,-0.278,0.002,0.034,-0.82,0.82,0.28,0.255,0.171,3.5780000000000003
1262,C[C@@H]1CCCC[C@@H]1NC(=O)[C@@H](NS(=O)(=O)c1cccc2nsnc12)c1ccccc1,0.0123110229288444,0.3713519005849937,0.051,0.23,0.18,-0.18,-0.309,-0.05,0.062,-0.6559999999999999,0.6559999999999999,0.259,0.254,0.281,3.855
1263,C[C@@H]1CCCC[C@@H]1NC(=O)[C@@H](NS(=O)(=O)c1cccc2nsnc12)c1ccccc1,0.0056961449372265,0.3842509126686486,0.069,0.258,0.189,-0.189,-0.31,-0.068,0.074,-0.5489999999999999,0.5489999999999999,0.242,0.233,0.327,4.136
1264,CC[C@H](CO)NC1C(C)(C)[C@H]2CC[C@]1(C)C2,0.0787905467446043,0.3015281884512492,0.002,0.113,0.111,-0.111,-0.284,0.061,0.018,-0.894,0.894,0.344,0.287,0.115,2.905
