,smiles,anchor,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
3519,O=C(O)Cn1cc(C(=O)C2CC2)c2ccccc21,O16,0.0284439753639569,0.3238350270118718,0.023,0.171,0.148,-0.148,-0.284,-0.012,0.04,-0.503,0.503,0.272,0.254,0.1939999999999999,3.675
3520,O=C(O)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,O17,0.0161697017572881,0.3729688707607225,0.045,0.223,0.178,-0.178,-0.314,-0.042,0.0579999999999999,-0.563,0.563,0.272,0.254,0.268,3.674
3521,O=C(O)c1cc(-c2ccccn2)n[nH]1,O11,0.0270842504434577,0.3549617028946516,0.0289999999999999,0.193,0.1639999999999999,-0.1639999999999999,-0.308,-0.019,0.046,-0.629,0.629,0.289,0.256,0.222,3.459
3522,O=C(O)c1cccc2c1C(=O)N(Cc1cccs1)C2,O17,0.0216821000836364,0.3515807652544913,0.034,0.1989999999999999,0.165,-0.165,-0.302,-0.0279999999999999,0.05,-0.8909999999999999,0.8909999999999999,0.2739999999999999,0.256,0.233,3.651
3523,O=C(O)CCc1nc(-c2ccccc2Cl)no1,O13,0.0224538358493252,0.3743653450033973,0.037,0.213,0.176,-0.176,-0.321,-0.031,0.053,-0.517,0.517,0.29,0.278,0.25,3.447
3524,O=C(O)CCCc1nc(-c2ccccc2)no1,O14,0.0279662341756734,0.3622748180076069,0.0289999999999999,0.1969999999999999,0.1669999999999999,-0.1669999999999999,-0.315,-0.019,0.047,-0.366,0.366,0.296,0.2789999999999999,0.226,3.381
3525,O=C(O)COc1ccc2nccnc2c1,O12,0.0103633088535347,0.3863823733548365,0.057,0.245,0.188,-0.188,-0.319,-0.057,0.068,-0.5670000000000001,0.5670000000000001,0.262,0.241,0.303,3.821
3526,O=C(O)C1CC(=O)N(c2cccc(F)c2)C1,O13,0.0405345023597474,0.3327651123005559,0.016,0.162,0.146,-0.146,-0.298,0.005,0.035,-0.534,0.534,0.303,0.276,0.179,3.303
3527,O=C(O)c1n[nH]c2c1COc1ccccc1-2,O14,0.0215718521171094,0.3382407613047286,0.032,0.19,0.158,-0.158,-0.291,-0.026,0.047,-0.53,0.53,0.265,0.2289999999999999,0.222,3.769
3528,O=C(O)C(Cc1ccc(F)cc1)c1ccccc1,O16,0.0448709223764747,0.3452598818402786,0.015,0.166,0.15,-0.15,-0.31,0.01,0.035,-0.626,0.626,0.32,0.311,0.181,3.13
3529,O=C(O)CCc1ccc(-c2cccs2)n1CC(=O)Nc1ccccc1C(F)(F)F,O24,0.0256877762007828,0.2981840001332646,0.022,0.158,0.136,-0.136,-0.261,-0.012,0.037,-0.862,0.862,0.249,0.201,0.18,4.008
3530,O=C(O)CCc1ccc(-c2cccs2)n1CC(=O)Nc1ccccc1,O23,0.0191463968535162,0.3068568401667192,0.0289999999999999,0.173,0.144,-0.144,-0.264,-0.024,0.043,-0.507,0.507,0.24,0.207,0.203,4.172
3531,O=C(O)CCC(=O)NCc1cn(-c2ccccc2)nc1-c1cc2ccccc2o1,O26,0.0177866719330169,0.3191678630955636,0.033,0.184,0.151,-0.151,-0.273,-0.0289999999999999,0.047,-0.4479999999999999,0.4479999999999999,0.244,0.207,0.217,4.102
3532,N#CCCn1cc(C(=O)Nc2ccc(C(=O)O)cc2)c(-c2cccs2)n1,O21,0.0161329524351125,0.3617970768193233,0.043,0.216,0.173,-0.173,-0.306,-0.04,0.0559999999999999,-0.534,0.534,0.265,0.258,0.258,3.768
3533,O=C(O)Cn1nnc(-c2ccc(Cl)cc2)n1,O11,0.0145159822593837,0.3885505833632002,0.05,0.237,0.187,-0.187,-0.325,-0.049,0.063,-0.522,0.522,0.2769999999999999,0.244,0.287,3.615
3534,O=C(O)Cn1cc(C(=O)c2cccs2)c2ccccc21,O18,0.0180806665104222,0.3312216407691784,0.035,0.191,0.157,-0.157,-0.283,-0.031,0.049,-0.7829999999999999,0.7829999999999999,0.252,0.23,0.226,3.968
3535,O=C(O)c1ccc(C2SCC(=O)N2Cc2ccco2)cc1,O19,0.0180806665104222,0.3466196067607779,0.037,0.2019999999999999,0.1639999999999999,-0.1639999999999999,-0.295,-0.034,0.052,-0.882,0.882,0.262,0.248,0.239,3.824
3536,O=C(O)c1cc(-c2cccs2)nc2ccc(F)cc12,O16,0.0048509105271864,0.3552924467942324,0.065,0.24,0.175,-0.175,-0.286,-0.064,0.069,-0.588,0.588,0.222,0.185,0.305,4.513999999999999
3537,O=C(O)c1cc(-c2ccco2)nc2ccc(F)cc12,O16,0.005218403748943,0.3584161391791631,0.064,0.241,0.177,-0.177,-0.289,-0.064,0.069,-0.614,0.614,0.225,0.184,0.305,4.442
3538,O=C1CC(C(=O)Nc2ccc(O)c(C(=O)O)c2)C(c2ccccc2)O1,O22,0.0213513561840555,0.3425771813214558,0.033,0.193,0.161,-0.161,-0.294,-0.027,0.048,-0.586,0.586,0.267,0.2269999999999999,0.226,3.739
3539,O=C(CC(C(=O)O)n1cnc([N+](=O)[O-])n1)c1ccc(Br)cc1,O15,0.0121272763179661,0.3877788475975114,0.054,0.242,0.188,-0.188,-0.322,-0.054,0.066,-0.792,0.792,0.2689999999999999,0.243,0.296,3.723
3540,O=C(O)Cn1cc(C(=O)c2ccccc2F)c2ccccc21,O19,0.019807884652678,0.3297516678821523,0.032,0.187,0.155,-0.155,-0.283,-0.027,0.047,-0.721,0.721,0.256,0.2339999999999999,0.22,3.913
3541,O=C(O)C1CCCCC1C(=O)Nc1nc(-c2cccs2)cs1,O19,0.0206531190627181,0.323063291246183,0.03,0.182,0.151,-0.151,-0.278,-0.024,0.045,-0.449,0.449,0.254,0.211,0.212,3.944
3542,O=C(O)CC1Nc2ccccc2NC1=O,O13,0.0334786325020216,0.325194751932371,0.02,0.166,0.146,-0.146,-0.288,-0.004,0.037,-0.623,0.623,0.284,0.247,0.185,3.525
3543,O=C(O)Cn1nnnc1-c1ccc(F)cc1,O11,0.0166474429455717,0.4063740046183929,0.05,0.245,0.195,-0.195,-0.342,-0.048,0.065,-0.481,0.481,0.294,0.272,0.295,3.404
3544,O=C(O)C1C2C=CC3(CN(Cc4c(F)cccc4Cl)C(=O)C13)O2,O19,0.0378885511631002,0.3566889210369073,0.021,0.18,0.159,-0.159,-0.316,-0.003,0.0409999999999999,-0.726,0.726,0.314,0.31,0.201,3.19
3545,O=C(O)C(c1ccccc1)N1CCCC1,O14,0.0428864589789893,0.3154561815558224,0.013,0.149,0.136,-0.136,-0.284,0.011,0.031,-0.838,0.838,0.295,0.255,0.163,3.384
3546,O=C(O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(F)cc1,O21,0.0337358777572512,0.3132879715474588,0.018,0.158,0.14,-0.14,-0.278,-0.002,0.035,-0.923,0.923,0.276,0.256,0.176,3.618
3547,O=C(O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,O22,0.0153244673472481,0.3674564724343743,0.045,0.221,0.176,-0.176,-0.309,-0.043,0.0579999999999999,-0.586,0.586,0.266,0.246,0.266,3.753
3548,O=C(O)C1CCCN1S(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,O18,0.0184114104100031,0.3555129427272864,0.039,0.207,0.1689999999999999,-0.1689999999999999,-0.302,-0.035,0.053,-0.59,0.59,0.268,0.2319999999999999,0.246,3.733
3549,O=C(O)C1CCCN1S(=O)(=O)c1ccc2ccccc2c1,O18,0.0140749903932758,0.3268117221080999,0.039,0.196,0.156,-0.156,-0.275,-0.037,0.051,-0.901,0.901,0.238,0.213,0.235,4.197
3550,O=C(O)CC1NC2CCCCC2NC1=O,O13,0.0635395780417074,0.3384980065599581,0.0069999999999999,0.145,0.1369999999999999,-0.1369999999999999,-0.311,0.036,0.027,-0.825,0.825,0.348,0.3279999999999999,0.152,2.8760000000000003
3551,O=C(O)Cn1nnnc1SCC(=O)Nc1ccc(F)cc1F,O15,0.019918132619205,0.3518380105097209,0.036,0.2019999999999999,0.166,-0.166,-0.301,-0.031,0.051,-0.98,0.98,0.27,0.2289999999999999,0.238,3.71
3552,O=C(O)c1cc(-c2ccccc2O)on1,O13,0.0151407207363698,0.3756515712795453,0.047,0.2269999999999999,0.18,-0.18,-0.316,-0.045,0.06,-0.614,0.614,0.271,0.25,0.2739999999999999,3.693
3553,O=C(O)c1cc(-c2ccc(Cl)c(Cl)c2)on1,O12,0.0097753196987242,0.3923725128694683,0.06,0.251,0.191,-0.191,-0.3229999999999999,-0.06,0.07,-0.4639999999999999,0.4639999999999999,0.263,0.236,0.311,3.801
3554,O=C(O)c1ccccc1NC(=O)c1c2c(n3ccccc13)C(=O)c1ccccc1C2=O,O27,0.0,0.3782607731540168,0.106,0.295,0.1889999999999999,-0.1889999999999999,-0.284,-0.094,0.094,-0.765,0.765,0.19,0.173,0.4,5.2620000000000005
3555,O=C(O)c1ccc(CSc2nnc(-c3ccco3)[nH]2)cc1,O18,0.0212043588953529,0.3220710595474403,0.03,0.18,0.15,-0.15,-0.278,-0.023,0.045,-0.924,0.924,0.254,0.212,0.21,3.933
3556,O=C(O)C1CCCN(Cc2cccnc2)C1,O14,0.0420412245689493,0.3324343684009749,0.016,0.161,0.145,-0.145,-0.298,0.008,0.035,-0.942,0.942,0.305,0.2789999999999999,0.176,3.274
3557,O=C(O)c1ccc(Oc2ncccn2)cc1,O13,0.0224905851715008,0.3675667204009013,0.036,0.208,0.173,-0.173,-0.315,-0.03,0.052,-0.563,0.563,0.286,0.26,0.244,3.497
3558,O=C(O)C1CCN(Cc2ccccn2)CC1,O14,0.0364553275982497,0.310384775095582,0.016,0.153,0.1369999999999999,-0.1369999999999999,-0.2769999999999999,0.003,0.034,-0.951,0.951,0.28,0.2269999999999999,0.1689999999999999,3.574
3559,O=C(O)C1CCN(Cc2cccnc2)CC1,O14,0.0407549982928013,0.3204173400495359,0.015,0.155,0.14,-0.14,-0.287,0.008,0.033,-0.923,0.923,0.295,0.257,0.1689999999999999,3.391
3560,O=C(O)c1cc(-c2ccc(Cl)cc2)no1,O12,0.0130092600501818,0.3845816565682295,0.052,0.238,0.186,-0.186,-0.321,-0.051,0.064,-0.6729999999999999,0.6729999999999999,0.27,0.236,0.29,3.71
3561,O=C(O)c1cc(-c2ccccc2Cl)no1,O12,0.0160227044685855,0.3871908584427009,0.048,0.233,0.186,-0.186,-0.326,-0.045,0.061,-0.767,0.767,0.28,0.264,0.281,3.567
3562,O=C(O)C1COc2cc([N+](=O)[O-])ccc2O1,O13,0.0095180744434946,0.3968191808527226,0.061,0.255,0.1939999999999999,-0.1939999999999999,-0.326,-0.061,0.071,-0.642,0.642,0.265,0.24,0.316,3.779
3563,O=C(O)C(c1ccccc1)N1CCCCC1,O15,0.0414164860919631,0.2985514933550212,0.012,0.141,0.129,-0.129,-0.2689999999999999,0.012,0.0289999999999999,-0.873,0.873,0.281,0.2289999999999999,0.153,3.557
3564,O=C(O)CCN1CCN(C2CCCCC2)CC1,O16,0.073167900451729,0.3078490718654619,0.003,0.12,0.1169999999999999,-0.1169999999999999,-0.288,0.053,0.02,-0.972,0.972,0.341,0.3329999999999999,0.123,2.9360000000000004
