,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
1333,Cc1cnn(CCn2cnc3ccc(C(=O)O)cc32)c1,0.0224538358493252,0.3570564142586638,0.034,0.201,0.1669999999999999,-0.1669999999999999,-0.307,-0.0279999999999999,0.05,-0.59,0.59,0.2789999999999999,0.273,0.235,3.58
1334,Cc1cnn(CCn2cnc3ccc(C(=O)O)cc32)c1,0.0254672802677289,0.3520217571205992,0.03,0.193,0.163,-0.163,-0.305,-0.022,0.047,-0.514,0.514,0.283,0.28,0.2239999999999999,3.528
1335,Cc1cnn(CCn2cnc3ccc(C(=O)O)cc32)c1,0.0212778575397042,0.3601801066435945,0.036,0.205,0.1689999999999999,-0.1689999999999999,-0.309,-0.03,0.052,-0.6459999999999999,0.6459999999999999,0.278,0.273,0.241,3.594
1336,Cc1ccc(S(=O)(=O)CCOc2ccc(C(=O)O)c(O)c2)c(C)c1,0.0260552694225393,0.3406294672461461,0.0279999999999999,0.185,0.157,-0.157,-0.296,-0.019,0.045,-0.99,0.99,0.278,0.252,0.213,3.603
1337,O=C(O)[C@H]1O[C@@H](Oc2cnccc2CCCOc2cccnc2Oc2cccc(Cl)c2)[C@H](O)[C@@H](O)[C@@H]1O,0.0320454089371711,0.3414012030118348,0.023,0.178,0.155,-0.155,-0.3,-0.009,0.0409999999999999,-0.922,0.922,0.291,0.288,0.201,3.4330000000000003
1338,CCN(CCC1CCCCC1)C(C)CC(=O)O,0.0657445373722467,0.3014914391290736,0.004,0.122,0.118,-0.118,-0.28,0.044,0.021,-0.908,0.908,0.324,0.26,0.126,3.083
1339,CCN(CCC1CCCCC1)C(C)CC(=O)O,0.0725431619747429,0.2980002535223863,0.003,0.115,0.113,-0.113,-0.2789999999999999,0.053,0.019,-0.953,0.953,0.332,0.256,0.118,3.009
1340,CCC(C(=O)O)N(C)C(=O)c1ccc2c(c1)CC(=O)N2,0.0357570904769123,0.3301559104260844,0.019,0.166,0.147,-0.147,-0.293,-0.001,0.037,-0.494,0.494,0.292,0.267,0.185,3.429
1341,CCC(C(=O)O)N(C)C(=O)c1ccc2c(c1)CC(=O)N2,0.0337358777572512,0.3336470960327717,0.021,0.171,0.15,-0.15,-0.295,-0.005,0.039,-0.507,0.507,0.29,0.267,0.191,3.451
1342,CCC(C(=O)O)N(C)C(=O)c1ccc2c(c1)CC(=O)N2,0.0368963194643576,0.328281694995126,0.018,0.1639999999999999,0.146,-0.146,-0.292,0.001,0.036,-0.499,0.499,0.293,0.266,0.182,3.417
1343,COc1cc(/C=C\c2cc[n+](CC(=O)O)cc2)cc(OC)c1OC.[Cl-],0.0015802208535531,0.3002787114972769,0.106,0.256,0.149,-0.149,-0.214,-0.085,0.086,-0.628,0.628,0.129,0.1,0.362,7.747000000000001
1344,COc1cc(/C=C\c2cc[n+](CC(=O)O)cc2)cc(OC)c1OC.[Cl-],0.0001469972887026,0.3365870418068241,0.102,0.27,0.168,-0.168,-0.249,-0.088,0.088,-0.98,0.98,0.161,0.158,0.3720000000000001,6.214
1345,CC1CCCN(Cc2nnn(C)n2)C1C(=O)O,0.0316411663932389,0.3493758059239519,0.024,0.183,0.159,-0.159,-0.307,-0.011,0.043,-0.933,0.933,0.296,0.271,0.208,3.382
1346,CC1CCCN(Cc2nnn(C)n2)C1C(=O)O,0.0465981405187305,0.3627158098737147,0.017,0.175,0.158,-0.158,-0.325,0.009,0.037,-0.936,0.936,0.335,0.32,0.191,2.988
1347,CC1CCCN(Cc2nnn(C)n2)C1C(=O)O,0.0401670091379909,0.3467298547273049,0.018,0.172,0.153,-0.153,-0.309,0.002,0.038,-0.95,0.95,0.311,0.292,0.19,3.2110000000000003
1348,CC(C)(CCC(=O)O)NC(=O)[C@@H]1C[C@]12CCOc1ccccc12,0.0476271215396488,0.3103112764512308,0.011,0.142,0.131,-0.131,-0.282,0.019,0.0289999999999999,-0.61,0.61,0.301,0.272,0.152,3.3280000000000003
1349,O=C(O)C(Cc1cccc(OC(F)(F)C(F)F)c1)C(O)c1ccc(Cl)s1,0.0359408370877905,0.3367707884177023,0.02,0.17,0.15,-0.15,-0.299,-0.002,0.038,-0.6920000000000001,0.6920000000000001,0.296,0.2689999999999999,0.19,3.374
1350,CN(CC(N)=O)C(=O)Nc1cnn(CC(=O)O)c1,0.0412327394810849,0.3401517260578626,0.017,0.166,0.149,-0.149,-0.304,0.005,0.036,-0.642,0.642,0.309,0.286,0.183,3.235
1351,CN(CC(N)=O)C(=O)Nc1cnn(CC(=O)O)c1,0.0568879507279139,0.3077755732211105,0.0069999999999999,0.132,0.125,-0.125,-0.283,0.032,0.025,-0.85,0.85,0.315,0.283,0.139,3.178
1352,CN(CC(N)=O)C(=O)Nc1cnn(CC(=O)O)c1,0.0500158274810664,0.3341983358654065,0.012,0.154,0.142,-0.142,-0.303,0.019,0.031,-0.583,0.583,0.321,0.297,0.166,3.111
1353,O=C(NC(C(=O)O)c1cccs1)c1cc(Br)ccc1O,0.0243648006024592,0.352572996953234,0.031,0.195,0.1639999999999999,-0.1639999999999999,-0.305,-0.024,0.048,-0.623,0.623,0.281,0.271,0.2269999999999999,3.557
1354,O=C(NC(C(=O)O)c1cccs1)c1cc(Br)ccc1O,0.0280029834978491,0.3468033533716561,0.027,0.186,0.159,-0.159,-0.302,-0.016,0.044,-0.6559999999999999,0.6559999999999999,0.286,0.283,0.213,3.497
1355,CCN(c1c(C)c(C(=O)O)cc2cc(Br)cn12)C1CCOCC1,0.0161697017572881,0.3056808618570982,0.033,0.177,0.145,-0.145,-0.26,-0.0289999999999999,0.045,-0.569,0.569,0.231,0.1969999999999999,0.21,4.324
